p,r2,r3,r4,r5,r6
0.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.0100,0.9997,0.9980,0.9904,0.9616,0.8688
0.0200,0.9988,0.9921,0.9647,0.8728,0.6401
0.0300,0.9974,0.9829,0.9270,0.7619,0.4327
0.0400,0.9953,0.9706,0.8809,0.6465,0.2769
0.0500,0.9927,0.9556,0.8290,0.5366,0.1705
0.0600,0.9896,0.9382,0.7738,0.4375,0.1018
0.0700,0.9860,0.9187,0.7168,0.3514,0.0594
0.0800,0.9818,0.8974,0.6597,0.2787,0.0339
0.0900,0.9772,0.8745,0.6035,0.2185,0.0190
0.1000,0.9720,0.8503,0.5490,0.1696,0.0105
0.1100,0.9664,0.8250,0.4969,0.1304,0.0057
0.1200,0.9603,0.7988,0.4476,0.0994,0.0030
0.1300,0.9537,0.7719,0.4013,0.0751,0.0016
0.1400,0.9467,0.7444,0.3583,0.0564,0.0008
0.1500,0.9392,0.7166,0.3186,0.0420,0.0004
0.1600,0.9314,0.6885,0.2821,0.0310,0.0002
0.1700,0.9231,0.6604,0.2489,0.0228,0.0001
0.1800,0.9145,0.6323,0.2187,0.0166,0.0001
0.1900,0.9054,0.6044,0.1915,0.0120,0.0000
0.2000,0.8960,0.5767,0.1671,0.0087,0.0000
0.2100,0.8862,0.5494,0.1453,0.0062,0.0000
0.2200,0.8761,0.5225,0.1259,0.0044,0.0000
0.2300,0.8656,0.4960,0.1087,0.0031,0.0000
0.2400,0.8548,0.4702,0.0935,0.0022,0.0000
0.2500,0.8438,0.4449,0.0802,0.0015,0.0000
0.2600,0.8324,0.4204,0.0685,0.0011,0.0000
0.2700,0.8207,0.3965,0.0583,0.0007,0.0000
0.2800,0.8087,0.3734,0.0495,0.0005,0.0000
0.2900,0.7965,0.3510,0.0419,0.0003,0.0000
0.3000,0.7840,0.3294,0.0353,0.0002,0.0000
0.3100,0.7713,0.3086,0.0296,0.0002,0.0000
0.3200,0.7583,0.2887,0.0248,0.0001,0.0000
0.3300,0.7452,0.2696,0.0206,0.0001,0.0000
0.3400,0.7318,0.2513,0.0171,0.0000,0.0000
0.3500,0.7182,0.2338,0.0142,0.0000,0.0000
0.3600,0.7045,0.2172,0.0117,0.0000,0.0000
0.3700,0.6906,0.2013,0.0096,0.0000,0.0000
0.3800,0.6765,0.1863,0.0078,0.0000,0.0000
0.3900,0.6623,0.1721,0.0064,0.0000,0.0000
0.4000,0.6480,0.1586,0.0052,0.0000,0.0000
0.4100,0.6335,0.1459,0.0042,0.0000,0.0000
0.4200,0.6190,0.1340,0.0034,0.0000,0.0000
0.4300,0.6043,0.1228,0.0027,0.0000,0.0000
0.4400,0.5896,0.1123,0.0021,0.0000,0.0000
0.4500,0.5748,0.1024,0.0017,0.0000,0.0000
0.4600,0.5599,0.0932,0.0013,0.0000,0.0000
0.4700,0.5449,0.0847,0.0010,0.0000,0.0000
0.4800,0.5300,0.0767,0.0008,0.0000,0.0000
0.4900,0.5150,0.0693,0.0006,0.0000,0.0000
0.5000,0.5000,0.0625,0.0005,0.0000,0.0000
0.5100,0.4850,0.0562,0.0004,0.0000,0.0000
0.5200,0.4700,0.0504,0.0003,0.0000,0.0000
0.5300,0.4551,0.0451,0.0002,0.0000,0.0000
0.5400,0.4401,0.0402,0.0002,0.0000,0.0000
0.5500,0.4252,0.0357,0.0001,0.0000,0.0000
0.5600,0.4104,0.0316,0.0001,0.0000,0.0000
0.5700,0.3957,0.0279,0.0001,0.0000,0.0000
0.5800,0.3810,0.0246,0.0000,0.0000,0.0000
0.5900,0.3665,0.0216,0.0000,0.0000,0.0000
0.6000,0.3520,0.0188,0.0000,0.0000,0.0000
0.6100,0.3377,0.0164,0.0000,0.0000,0.0000
0.6200,0.3235,0.0142,0.0000,0.0000,0.0000
0.6300,0.3094,0.0123,0.0000,0.0000,0.0000
0.6400,0.2955,0.0105,0.0000,0.0000,0.0000
0.6500,0.2818,0.0090,0.0000,0.0000,0.0000
0.6600,0.2682,0.0077,0.0000,0.0000,0.0000
0.6700,0.2548,0.0065,0.0000,0.0000,0.0000
0.6800,0.2417,0.0055,0.0000,0.0000,0.0000
0.6900,0.2287,0.0046,0.0000,0.0000,0.0000
0.7000,0.2160,0.0038,0.0000,0.0000,0.0000
0.7100,0.2035,0.0031,0.0000,0.0000,0.0000
0.7200,0.1913,0.0026,0.0000,0.0000,0.0000
0.7300,0.1793,0.0021,0.0000,0.0000,0.0000
0.7400,0.1676,0.0017,0.0000,0.0000,0.0000
0.7500,0.1562,0.0013,0.0000,0.0000,0.0000
0.7600,0.1452,0.0011,0.0000,0.0000,0.0000
0.7700,0.1344,0.0008,0.0000,0.0000,0.0000
0.7800,0.1239,0.0006,0.0000,0.0000,0.0000
0.7900,0.1138,0.0005,0.0000,0.0000,0.0000
0.8000,0.1040,0.0004,0.0000,0.0000,0.0000
0.8100,0.0946,0.0003,0.0000,0.0000,0.0000
0.8200,0.0855,0.0002,0.0000,0.0000,0.0000
0.8300,0.0769,0.0001,0.0000,0.0000,0.0000
0.8400,0.0686,0.0001,0.0000,0.0000,0.0000
0.8500,0.0608,0.0001,0.0000,0.0000,0.0000
0.8600,0.0533,0.0000,0.0000,0.0000,0.0000
0.8700,0.0463,0.0000,0.0000,0.0000,0.0000
0.8800,0.0397,0.0000,0.0000,0.0000,0.0000
0.8900,0.0336,0.0000,0.0000,0.0000,0.0000
0.9000,0.0280,0.0000,0.0000,0.0000,0.0000
0.9100,0.0228,0.0000,0.0000,0.0000,0.0000
0.9200,0.0182,0.0000,0.0000,0.0000,0.0000
0.9300,0.0140,0.0000,0.0000,0.0000,0.0000
0.9400,0.0104,0.0000,0.0000,0.0000,0.0000
0.9500,0.0072,0.0000,0.0000,0.0000,0.0000
0.9600,0.0047,0.0000,0.0000,0.0000,0.0000
0.9700,0.0026,0.0000,0.0000,0.0000,0.0000
0.9800,0.0012,0.0000,0.0000,0.0000,0.0000
0.9900,0.0003,0.0000,0.0000,0.0000,0.0000
1.0000,0.0000,0.0000,0.0000,0.0000,0.0000
