r,p,success_rate
2,0.05,0.9927
2,0.10,0.9720
2,0.15,0.9392
2,0.20,0.8960
2,0.25,0.8438
2,0.30,0.7840
2,0.35,0.7182
2,0.40,0.6480
2,0.45,0.5748
2,0.50,0.5000
3,0.05,0.9556
3,0.10,0.8503
3,0.15,0.7166
3,0.20,0.5767
3,0.25,0.4449
3,0.30,0.3294
3,0.35,0.2338
3,0.40,0.1586
3,0.45,0.1024
3,0.50,0.0625
4,0.05,0.8290
4,0.10,0.5490
4,0.15,0.3186
4,0.20,0.1671
4,0.25,0.0802
4,0.30,0.0353
4,0.35,0.0142
4,0.40,0.0052
4,0.45,0.0017
4,0.50,0.0005
5,0.05,0.5366
5,0.10,0.1696
5,0.15,0.0420
5,0.20,0.0087
5,0.25,0.0015
5,0.30,0.0002
5,0.35,0.0000
5,0.40,0.0000
5,0.45,0.0000
5,0.50,0.0000
6,0.05,0.1705
6,0.10,0.0105
6,0.15,0.0004
6,0.20,0.0000
6,0.25,0.0000
6,0.30,0.0000
6,0.35,0.0000
6,0.40,0.0000
6,0.45,0.0000
6,0.50,0.0000
